atomo,atom,Partícula más pequeña de un elemento,Smallest particle of an element,ciencia,beginner
celula,cell,Unidad básica de la vida,Basic unit of life,ciencia,beginner
gen,gene,Unidad de herencia biológica,Unit of biological inheritance,ciencia,advanced
adn,dna,Molécula que lleva la información genética,Molecule carrying genetic information,ciencia,advanced
ion,ion,Átomo con carga eléctrica,Electrically charged atom,ciencia,advanced
acido,acid,Sustancia con pH menor a siete,Substance with pH less than seven,ciencia,beginner
base,base,Sustancia con pH mayor a siete,Substance with pH greater than seven,ciencia,beginner
mol,mole,Unidad de cantidad de sustancia en química,Unit of amount of substance in chemistry,ciencia,advanced
plasma,plasma,Cuarto estado de la materia,Fourth state of matter,ciencia,advanced
enzima,enzyme,Proteína que acelera reacciones químicas,Protein that speeds up chemical reactions,ciencia,advanced
virus,virus,Agente infeccioso microscópico,Microscopic infectious agent,ciencia,beginner
hongos,fungi,Organismos como setas y levaduras,Organisms like mushrooms and yeasts,ciencia,beginner
flora,flora,Conjunto de plantas de una región,Plant life of a region,ciencia,beginner
fauna,fauna,Conjunto de animales de una región,Animal life of a region,ciencia,beginner
fosil,fossil,Resto preservado de un ser antiguo,Preserved remains of an ancient organism,ciencia,beginner
larva,larva,Forma juvenil de un insecto,Juvenile form of an insect,ciencia,beginner
mitosis,mitosis,División celular que produce dos células iguales,Cell division producing two identical cells,ciencia,advanced
osmosis,osmosis,Paso de agua a través de una membrana,Passage of water through a membrane,ciencia,advanced
tejido,tissue,Grupo de células con función similar,Group of cells with similar function,ciencia,beginner
organo,organ,Estructura formada por varios tejidos,Structure formed by various tissues,ciencia,beginner
nervio,nerve,Fibra que transmite impulsos eléctricos,Fiber that transmits electrical impulses,ciencia,advanced
hueso,bone,Parte dura del esqueleto,Hard part of the skeleton,ciencia,beginner
sangre,blood,Líquido rojo que circula por el cuerpo,Red liquid circulating through the body,ciencia,beginner
fibra,fiber,Estructura alargada en tejidos biológicos,Elongated structure in biological tissues,ciencia,beginner
metal,metal,Elemento que conduce electricidad y calor,Element that conducts electricity and heat,ciencia,beginner
gas,gas,Estado de la materia sin forma ni volumen fijo,State of matter with no fixed shape or volume,ciencia,beginner
litio,lithium,Elemento químico más ligero de los metales,Lightest metallic chemical element,ciencia,advanced
sodio,sodium,Elemento presente en la sal de mesa,Element present in table salt,ciencia,advanced
hierro,iron,Metal esencial en la hemoglobina,Essential metal in hemoglobin,ciencia,beginner
cobre,copper,Metal rojizo usado en cables eléctricos,Reddish metal used in electrical wires,ciencia,beginner
plomo,lead,Metal pesado tóxico de símbolo Pb,Toxic heavy metal with symbol Pb,ciencia,advanced
azufre,sulfur,Elemento amarillo con olor característico,Yellow element with characteristic smell,ciencia,advanced
luna,moon,Satélite natural de la Tierra,Natural satellite of Earth,espacio,beginner
sol,sun,Estrella central de nuestro sistema,Central star of our system,espacio,beginner
marte,mars,Planeta rojo del sistema solar,Red planet of the solar system,espacio,beginner
venus,venus,Segundo planeta desde el Sol,Second planet from the Sun,espacio,beginner
tierra,earth,Nuestro planeta azul,Our blue planet,espacio,beginner
pluton,pluto,Planeta enano antes considerado el noveno,Dwarf planet formerly considered the ninth,espacio,beginner
cometa,comet,Cuerpo helado con cola brillante,Icy body with a bright tail,espacio,beginner
orbita,orbit,Trayectoria de un cuerpo alrededor de otro,Path of a body around another,espacio,beginner
crater,crater,Depresión causada por impacto de meteorito,Depression caused by meteorite impact,espacio,beginner
nebula,nebula,Nube de gas y polvo en el espacio,Cloud of gas and dust in space,espacio,advanced
quasar,quasar,Núcleo galáctico extremadamente luminoso,Extremely luminous galactic nucleus,espacio,advanced
pulsar,pulsar,Estrella de neutrones que emite radiación,Neutron star that emits radiation,espacio,advanced
