falda,skirt,Prenda femenina que cubre desde la cintura,Female garment covering from the waist down,ropa,beginner
camisa,shirt,Prenda con botones para el torso,Buttoned garment for the upper body,ropa,beginner
gorra,cap,Accesorio para cubrir la cabeza con visera,Head accessory with a visor,ropa,beginner
bota,boot,Calzado alto que cubre el tobillo,Tall footwear covering the ankle,ropa,beginner
bufanda,scarf,Prenda larga para abrigar el cuello,Long garment to warm the neck,ropa,beginner
blusa,blouse,Prenda femenina ligera para el torso,Light female upper body garment,ropa,beginner
traje,suit,Conjunto formal de chaqueta y pantalón,Formal jacket and pants set,ropa,beginner
chaleco,vest,Prenda sin mangas que se usa sobre la camisa,Sleeveless garment worn over a shirt,ropa,advanced
guante,glove,Prenda que cubre la mano y los dedos,Garment covering the hand and fingers,ropa,beginner
media,sock,Prenda que cubre el pie dentro del zapato,Garment covering the foot inside a shoe,ropa,beginner
abrigo,coat,Prenda gruesa para protegerse del frío,Thick garment for cold weather protection,ropa,beginner
zapato,shoe,Calzado común que cubre el pie,Common footwear covering the foot,ropa,beginner
gafas,glasses,Accesorio óptico que se lleva en la cara,Optical accessory worn on the face,ropa,beginner
pijama,pajamas,Ropa cómoda para dormir,Comfortable clothing for sleeping,ropa,beginner
short,shorts,Pantalón corto para clima cálido,Short pants for warm weather,ropa,beginner
toga,gown,Vestimenta larga y ceremonial,Long ceremonial garment,ropa,advanced
capa,cape,Prenda suelta que cubre la espalda,Loose garment covering the back,ropa,advanced
boina,beret,Sombrero plano y redondo de origen francés,Flat round hat of French origin,ropa,advanced
delantal,apron,Prenda protectora usada al cocinar,Protective garment used while cooking,ropa,advanced
corbata,tie,Accesorio formal que se anuda al cuello,Formal accessory knotted at the neck,ropa,beginner
jersey,jersey,Prenda de punto para abrigarse,Knitted garment for warmth,ropa,beginner
chaqueta,jacket,Prenda con mangas que se abre por delante,Sleeved garment that opens in front,ropa,beginner
sudadera,hoodie,Prenda deportiva con capucha,Sporty garment with a hood,ropa,beginner
bermuda,bermudas,Pantalón que llega hasta la rodilla,Pants reaching to the knee,ropa,advanced
polo,polo,Camiseta con cuello y botones cortos,Collared shirt with short buttons,ropa,beginner
cinto,belt,Accesorio para ajustar la cintura,Accessory to adjust the waist,ropa,advanced
malla,tights,Prenda elástica ajustada a las piernas,Elastic garment fitted to the legs,ropa,advanced
parka,parka,Abrigo largo e impermeable con capucha,Long waterproof hooded coat,ropa,advanced
bata,robe,Prenda holgada para estar en casa,Loose garment for being at home,ropa,beginner
tanga,thong,Ropa interior mínima y ajustada,Minimal fitted underwear,ropa,advanced
bikini,bikini,Traje de baño femenino de dos piezas,Two-piece female swimsuit,ropa,beginner
rojo,red,Color de la sangre y las rosas,Color of blood and roses,colores,beginner
azul,blue,Color del cielo despejado,Color of the clear sky,colores,beginner
verde,green,Color de la hierba y las hojas,Color of grass and leaves,colores,beginner
negro,black,Color más oscuro que existe,The darkest color that exists,colores,beginner
blanco,white,Color de la nieve y las nubes,Color of snow and clouds,colores,beginner
gris,gray,Color entre el blanco y el negro,Color between white and black,colores,beginner
rosa,pink,Color claro parecido al rojo suave,Light color similar to soft red,colores,beginner
morado,purple,Color mezcla de rojo y azul,Color mixing red and blue,colores,beginner
naranja,orange,Color de la fruta cítrica del mismo nombre,Color of the citrus fruit of the same name,colores,beginner
marron,brown,Color de la tierra y la madera,Color of earth and wood,colores,beginner
dorado,golden,Color brillante del oro,Bright color of gold,colores,advanced
plata,silver,Color brillante del metal precioso,Bright color of the precious metal,colores,advanced
crema,cream,Color blanco amarillento suave,Soft yellowish white color,colores,advanced
coral,coral,Color rosado anaranjado como el arrecife,Pinkish orange color like the reef,colores,advanced
lila,lilac,Color violeta pálido como la flor,Pale violet color like the flower,colores,advanced
celeste,sky,Color azul claro como el cielo,Light blue color like the sky,colores,beginner
turquesa,teal,Color azul verdoso como la piedra,Blue-green color like the stone,colores,advanced
ocre,ochre,Color terroso entre amarillo y marrón,Earthy color between yellow and brown,colores,advanced
indigo,indigo,Color azul oscuro profundo,Deep dark blue color,colores,advanced
cobre,copper,Color rojizo como el metal conductor,Reddish color like the conductive metal,colores,advanced
bronce,bronze,Color marrón metálico de la aleación,Metallic brown color of the alloy,colores,advanced
oliva,olive,Color verde oscuro como la aceituna,Dark green color like the olive fruit,colores,advanced
vino,wine,Color rojo oscuro como la bebida,Dark red color like the drink,colores,advanced
hueso,bone,Color blanco amarillento natural,Natural yellowish white color,colores,advanced
arena,sand,Color beige claro como la playa,Light beige color like the beach,colores,advanced
salmon,salmon,Color rosado anaranjado como el pez,Pinkish orange color like the fish,colores,advanced
perla,pearl,Color blanco iridiscente como la gema,Iridescent white color like the gem,colores,advanced
jade,jade,Color verde intenso como la piedra,Intense green color like the stone,colores,advanced
granate,garnet,Color rojo oscuro como la piedra preciosa,Dark red color like the precious stone,colores,advanced
magenta,magenta,Color fucsia intenso y vibrante,Intense and vibrant fuchsia color,colores,advanced
