mola,cool,Algo que está genial o fantástico,Something awesome or fantastic,jerga,advanced
currar,work,Trabajar duro en el empleo,To work hard at a job,jerga,advanced
flipar,freak,Quedarse muy sorprendido,To be amazed or shocked,jerga,advanced
tio,dude,Forma coloquial de dirigirse a alguien,Informal way to address someone,jerga,advanced
pasta,money,Dinero en lenguaje coloquial,Cash in colloquial speech,jerga,advanced
rollo,vibe,Ambiente o situación general,General atmosphere or situation,jerga,advanced
cursi,cheesy,Algo excesivamente sentimental,Something overly sentimental,jerga,advanced
morro,nerve,Descaro o atrevimiento,Audacity or cheekiness,jerga,advanced
guay,great,Estupendo o muy bueno,Wonderful or very good,jerga,advanced
pijo,posh,Persona de clase alta presumida,Snobbish upper-class person,jerga,advanced
lata,drag,Algo aburrido o molesto,Something boring or annoying,jerga,advanced
colega,buddy,Amigo cercano o compañero,Close friend or companion,jerga,advanced
lio,mess,Desorden o situación caótica,Disorder or chaotic situation,jerga,advanced
vago,lazy,Persona que no quiere hacer nada,Person who doesn't want to do anything,jerga,advanced
finde,weekend,Fin de semana abreviado,Abbreviated weekend,jerga,advanced
soplon,snitch,Persona que delata a otros,Person who tells on others,jerga,advanced
pelado,broke,Sin dinero en absoluto,Without any money at all,jerga,advanced
movida,scene,Situación complicada o interesante,Complicated or interesting situation,jerga,advanced
trasto,junk,Objeto inútil o persona traviesa,Useless object or mischievous person,jerga,advanced
bronca,fight,Pelea o discusión acalorada,Fight or heated argument,jerga,advanced
timo,scam,Engaño o estafa callejera,Street trick or fraud,jerga,advanced
fiesta,party,Celebración informal con amigos,Informal celebration with friends,jerga,advanced
cotilla,gossip,Persona que difunde chismes,Person who spreads rumors,jerga,advanced
chaval,kid,Chico joven o adolescente,Young boy or teenager,jerga,advanced
mogollon,tons,Mucha cantidad de algo,A huge amount of something,jerga,advanced
majo,nice,Persona agradable y simpática,Pleasant and likeable person,jerga,advanced
chollo,bargain,Oferta increíble o ganga,Incredible deal or bargain,jerga,advanced
curro,job,Empleo o puesto de trabajo,Employment or work position,jerga,advanced
ojo,eye,Cuidado o atención en expresiones,Care or attention in expressions,modismos,advanced
palo,stick,Golpe o decepción inesperada,Blow or unexpected disappointment,modismos,advanced
bola,ball,Mentira o exageración,Lie or exaggeration,modismos,advanced
pelo,hair,Aparece en muchas expresiones populares,Appears in many popular expressions,modismos,advanced
gato,cat,Animal en expresiones sobre engaño,Animal in expressions about deception,modismos,advanced
piedra,stone,Objeto duro en expresiones de sorpresa,Hard object in expressions of surprise,modismos,advanced
lengua,tongue,Órgano del habla en expresiones,Speech organ in expressions,modismos,advanced
codo,elbow,Parte del cuerpo en expresiones de tacañería,Body part in expressions about stinginess,modismos,advanced
mosca,fly,Insecto en expresiones de sospecha,Insect in expressions of suspicion,modismos,advanced
vela,candle,Objeto en expresiones sobre entrometerse,Object in expressions about meddling,modismos,advanced
clavo,nail,Objeto puntiagudo en expresiones de desesperación,Pointed object in expressions of desperation,modismos,advanced
torta,slap,Golpe en la cara o pastel,Slap in the face or cake,modismos,advanced
leche,milk,Bebida en expresiones de sorpresa,Drink in expressions of surprise,modismos,advanced
huevo,egg,Alimento en expresiones de valor,Food in expressions about courage,modismos,advanced
bomba,bomb,Explosivo en expresiones de diversión,Explosive in expressions of fun,modismos,advanced
plato,plate,Utensilio en expresiones sobre venganza,Utensil in expressions about revenge,modismos,advanced
vuelta,turn,Giro en expresiones de cambio,Turn in expressions about change,modismos,advanced
polvo,dust,Partículas en expresiones de cansancio,Particles in expressions of exhaustion,modismos,advanced
cuerda,rope,Objeto en expresiones sobre locura,Object in expressions about madness,modismos,advanced
