cocina,kitchen,Lugar donde se preparan los alimentos,Room where food is prepared,casa,beginner
sala,living,Habitación principal para recibir visitas,Main room for receiving guests,casa,beginner
bano,bathroom,Lugar para asearse y ducharse,Room for washing and showering,casa,beginner
cama,bed,Mueble donde se duerme por la noche,Furniture where you sleep at night,casa,beginner
mesa,table,Mueble con superficie plana para comer,Flat surface furniture for eating,casa,beginner
silla,chair,Asiento con respaldo para una persona,Seat with backrest for one person,casa,beginner
sofa,sofa,Asiento acolchado para varias personas,Cushioned seat for several people,casa,beginner
puerta,door,Entrada o salida de una habitación,Entrance or exit of a room,casa,beginner
ventana,window,Abertura en la pared que deja pasar la luz,Wall opening that lets light through,casa,beginner
techo,ceiling,Parte superior que cubre una habitación,Upper part that covers a room,casa,beginner
piso,floor,Superficie donde se camina en la casa,Surface where you walk in the house,casa,beginner
pared,wall,Superficie vertical que divide espacios,Vertical surface that divides spaces,casa,beginner
espejo,mirror,Cristal que refleja tu imagen,Glass that reflects your image,casa,beginner
lampara,lamp,Objeto que produce luz artificial,Object that produces artificial light,casa,beginner
alfombra,rug,Tejido que cubre parte del suelo,Fabric that covers part of the floor,casa,advanced
estante,shelf,Tabla horizontal para colocar objetos,Horizontal board for placing objects,casa,advanced
armario,closet,Mueble grande para guardar ropa,Large furniture for storing clothes,casa,advanced
cortina,curtain,Tela que cubre la ventana,Fabric that covers the window,casa,beginner
escalera,stairs,Estructura con peldaños para subir,Structure with steps for going up,casa,advanced
sotano,basement,Piso subterráneo de una casa,Underground floor of a house,casa,advanced
balcon,balcony,Plataforma exterior en un piso alto,Exterior platform on an upper floor,casa,advanced
pasillo,hallway,Corredor que conecta habitaciones,Corridor that connects rooms,casa,advanced
garaje,garage,Lugar para guardar el automóvil,Place to store the car,casa,beginner
jardin,garden,Espacio exterior con plantas y flores,Outdoor space with plants and flowers,casa,beginner
terraza,terrace,Espacio abierto en la parte alta de la casa,Open space on the upper part of the house,casa,advanced
comedor,dining,Habitación donde se come en familia,Room where the family eats together,casa,beginner
cajon,drawer,Compartimento deslizable de un mueble,Sliding compartment of furniture,casa,advanced
repisa,ledge,Tabla fijada a la pared para objetos,Board fixed to the wall for objects,casa,advanced
columna,column,Pilar vertical que sostiene el techo,Vertical pillar that supports the ceiling,casa,advanced
rincon,corner,Ángulo interior donde se unen dos paredes,Interior angle where two walls meet,casa,advanced
closet,closet,Espacio empotrado para guardar ropa,Built-in space for storing clothes,casa,beginner
banco,bench,Asiento largo sin respaldo,Long seat without backrest,casa,beginner
librero,bookcase,Mueble con estantes para libros,Furniture with shelves for books,casa,advanced
tapete,mat,Pieza de tela gruesa para el suelo,Thick fabric piece for the floor,casa,beginner
azotea,rooftop,Parte superior plana de un edificio,Flat upper part of a building,casa,advanced
recamara,bedroom,Habitación privada para dormir,Private room for sleeping,casa,advanced
llave,key,Objeto metálico para abrir cerraduras,Metal object for opening locks,objetos,beginner
