ojo,eye,Órgano de la visión,Organ used for seeing,cuerpo,beginner
nariz,nose,Parte de la cara para oler,Facial feature used for smelling,cuerpo,beginner
boca,mouth,Se usa para hablar y comer,Used for speaking and eating,cuerpo,beginner
oreja,ear,Parte externa del oído,Outer part of the hearing organ,cuerpo,beginner
mano,hand,Extremidad con cinco dedos,Extremity with five fingers,cuerpo,beginner
pie,foot,Parte inferior de la pierna,Lower part of the leg,cuerpo,beginner
dedo,finger,Cada una de las partes de la mano,Each of the parts of the hand,cuerpo,beginner
brazo,arm,Extremidad superior del cuerpo,Upper limb of the body,cuerpo,beginner
pierna,leg,Extremidad inferior del cuerpo,Lower limb of the body,cuerpo,beginner
cabeza,head,Parte superior del cuerpo,Top part of the body,cuerpo,beginner
cuello,neck,Conecta la cabeza con el tronco,Connects the head to the torso,cuerpo,beginner
pecho,chest,Parte frontal del torso,Front part of the torso,cuerpo,beginner
espalda,back,Parte posterior del torso,Rear part of the torso,cuerpo,beginner
hombro,shoulder,Articulación entre brazo y torso,Joint between arm and torso,cuerpo,beginner
rodilla,knee,Articulación de la pierna,Joint in the middle of the leg,cuerpo,beginner
codo,elbow,Articulación del brazo,Joint in the middle of the arm,cuerpo,beginner
cara,face,Parte frontal de la cabeza,Front of the head,cuerpo,beginner
pelo,hair,Crece en la cabeza,Grows on the head,cuerpo,beginner
labio,lip,Borde de la boca,Edge of the mouth,cuerpo,beginner
lengua,tongue,Órgano muscular dentro de la boca,Muscular organ inside the mouth,cuerpo,beginner
diente,tooth,Pieza dura en la boca para masticar,Hard piece in the mouth for chewing,cuerpo,beginner
muneca,wrist,Articulación entre mano y brazo,Joint between hand and arm,cuerpo,beginner
tobillo,ankle,Articulación entre pie y pierna,Joint between foot and leg,cuerpo,beginner
cintura,waist,Parte estrecha del torso,Narrow part of the torso,cuerpo,beginner
cadera,hip,Articulación lateral del torso inferior,Lateral joint of the lower torso,cuerpo,beginner
ceja,eyebrow,Pelo sobre el ojo,Hair above the eye,cuerpo,beginner
pestana,eyelash,Pelo en el borde del párpado,Hair on the edge of the eyelid,cuerpo,beginner
mejilla,cheek,Lado de la cara bajo el ojo,Side of the face below the eye,cuerpo,beginner
menton,chin,Parte inferior de la cara,Lower part of the face,cuerpo,beginner
frente,forehead,Parte superior de la cara,Upper part of the face,cuerpo,beginner
pulmon,lung,Órgano para respirar,Organ used for breathing,cuerpo,advanced
higado,liver,Órgano que filtra la sangre,Organ that filters blood,cuerpo,advanced
rinon,kidney,Órgano que filtra desechos,Organ that filters waste,cuerpo,advanced
cerebro,brain,Órgano del pensamiento,Organ of thought,cuerpo,advanced
costilla,rib,Hueso que protege los pulmones,Bone that protects the lungs,cuerpo,advanced
columna,spine,Estructura ósea de la espalda,Bony structure of the back,cuerpo,advanced
craneo,skull,Hueso que protege el cerebro,Bone that protects the brain,cuerpo,advanced
tendon,tendon,Tejido que une músculo y hueso,Tissue connecting muscle and bone,cuerpo,advanced
arteria,artery,Vaso que lleva sangre del corazón,Vessel carrying blood from the heart,cuerpo,advanced
vena,vein,Vaso que lleva sangre al corazón,Vessel carrying blood to the heart,cuerpo,advanced
musculo,muscle,Tejido que permite el movimiento,Tissue that enables movement,cuerpo,advanced
hueso,bone,Estructura rígida del esqueleto,Rigid structure of the skeleton,cuerpo,advanced
piel,skin,Órgano que cubre todo el cuerpo,Organ that covers the entire body,cuerpo,beginner
sangre,blood,Líquido rojo vital del cuerpo,Vital red fluid of the body,cuerpo,advanced
torso,torso,Parte central del cuerpo,Central part of the body,cuerpo,beginner
nuca,nape,Parte posterior del cuello,Back of the neck,cuerpo,advanced
palma,palm,Parte interior de la mano,Inner part of the hand,cuerpo,beginner
talon,heel,Parte posterior del pie,Back part of the foot,cuerpo,beginner
pulgar,thumb,Dedo más grueso de la mano,Thickest finger of the hand,cuerpo,beginner
ombligo,navel,Cicatriz en el centro del abdomen,Scar in the center of the abdomen,cuerpo,beginner
garganta,throat,Parte interna del cuello,Inner part of the neck,cuerpo,beginner
axila,armpit,Zona bajo el hombro,Area under the shoulder,cuerpo,advanced
clavicula,clavicle,Hueso horizontal sobre el pecho,Horizontal bone above the chest,cuerpo,advanced
femur,femur,Hueso más largo del cuerpo,Longest bone in the body,cuerpo,advanced
tibia,tibia,Hueso frontal de la pierna baja,Front bone of the lower leg,cuerpo,advanced
medico,doctor,Profesional que cura enfermedades,Professional who cures diseases,salud,beginner
clinico,clinical,Relativo al tratamiento de pacientes,Related to patient treatment,salud,advanced
salud,health,Estado de bienestar físico,State of physical wellbeing,salud,beginner
fiebre,fever,Temperatura corporal elevada,Elevated body temperature,salud,beginner
gripe,flu,Enfermedad viral respiratoria,Viral respiratory illness,salud,beginner
