futbol,soccer,Deporte con balón que se juega con los pies,Sport played with a ball using your feet,deportes,beginner
tenis,tennis,Deporte de raqueta jugado en una cancha,Racket sport played on a court,deportes,beginner
gol,goal,Anotación en el fútbol,Score in soccer,deportes,beginner
red,net,Malla que divide la cancha en tenis o vóleibol,Mesh dividing the court in tennis or volleyball,deportes,beginner
boxeo,boxing,Deporte de combate con guantes,Combat sport with gloves,deportes,beginner
nado,swimming,Acción de desplazarse en el agua,Action of moving through water,deportes,beginner
equipo,team,Grupo de jugadores que compiten juntos,Group of players competing together,deportes,beginner
cancha,court,Lugar donde se practican deportes,Place where sports are played,deportes,beginner
pelota,ball,Objeto esférico usado en muchos deportes,Spherical object used in many sports,deportes,beginner
carrera,race,Competencia de velocidad,Speed competition,deportes,beginner
salto,jump,Elevarse del suelo con impulso,Rising from the ground with momentum,deportes,beginner
arco,arch,Estructura donde el portero defiende,Structure where the goalkeeper defends,deportes,beginner
pase,pass,Enviar el balón a un compañero,Sending the ball to a teammate,deportes,beginner
liga,league,Competición deportiva organizada por temporadas,Organized sports competition by seasons,deportes,beginner
meta,finish,Línea final en una carrera,Final line in a race,deportes,beginner
remo,rowing,Deporte acuático con bote y palas,Water sport with a boat and oars,deportes,advanced
esgrima,fencing,Deporte de combate con espadas,Combat sport with swords,deportes,advanced
jabalina,javelin,Lanza que se arroja en atletismo,Spear thrown in track and field,deportes,advanced
arquero,archer,Persona que lanza flechas con un arco,Person who shoots arrows with a bow,deportes,advanced
jinete,rider,Persona que monta a caballo en competencias,Person who rides horses in competitions,deportes,advanced
set,set,División de un partido de tenis,Division of a tennis match,deportes,advanced
saque,serve,Golpe inicial en tenis o vóleibol,Initial hit in tennis or volleyball,deportes,advanced
tackle,tackle,Jugada defensiva para quitar el balón,Defensive play to take the ball away,deportes,advanced
dorsal,number,Número en la camiseta de un jugador,Number on a player's jersey,deportes,advanced
relevo,relay,Carrera por equipos donde se pasa un testigo,Team race where a baton is passed,deportes,advanced
falta,foul,Infracción de las reglas del juego,Violation of the rules of the game,deportes,beginner
guitarra,guitar,Instrumento de cuerdas muy popular,Very popular string instrument,musica,beginner
piano,piano,Instrumento de teclas blancas y negras,Instrument with black and white keys,musica,beginner
flauta,flute,Instrumento de viento de tubo largo,Wind instrument with a long tube,musica,beginner
tambor,drum,Instrumento de percusión que se golpea,Percussion instrument that is struck,musica,beginner
coro,choir,Grupo de personas que cantan juntas,Group of people singing together,musica,beginner
ritmo,rhythm,Patrón regular de sonidos en la música,Regular pattern of sounds in music,musica,beginner
nota,note,Sonido musical con tono definido,Musical sound with a defined pitch,musica,beginner
banda,band,Grupo de músicos que tocan juntos,Group of musicians playing together,musica,beginner
voz,voice,Sonido producido por las cuerdas vocales al cantar,Sound produced by vocal cords when singing,musica,beginner
disco,album,Grabación musical en formato físico o digital,Musical recording in physical or digital format,musica,beginner
canto,singing,Arte de producir melodías con la voz,Art of producing melodies with the voice,musica,beginner
tono,tone,Cualidad del sonido según su frecuencia,Quality of sound according to its frequency,musica,beginner
vals,waltz,Baile elegante en compás de tres tiempos,Elegant dance in three-quarter time,musica,beginner
rumba,rumba,Género musical y baile de origen cubano,Musical genre and dance of Cuban origin,musica,beginner
salsa,salsa,Género musical bailable de origen latino,Danceable musical genre of Latin origin,musica,beginner
arpa,harp,Instrumento grande de cuerdas verticales,Large instrument with vertical strings,musica,advanced
oboe,oboe,Instrumento de viento con lengüeta doble,Wind instrument with a double reed,musica,advanced
viola,viola,Instrumento de cuerda más grande que el violín,String instrument larger than a violin,musica,advanced
clave,clef,Símbolo al inicio del pentagrama,Symbol at the beginning of the staff,musica,advanced
tempo,tempo,Velocidad a la que se interpreta una pieza,Speed at which a piece is performed,musica,advanced
