lunes,monday,Primer día laborable de la semana,First working day of the week,tiempo,beginner
martes,tuesday,Día de la semana dedicado a Marte,Day of the week named after Mars,tiempo,beginner
jueves,thursday,Día entre miércoles y viernes,Day between Wednesday and Friday,tiempo,beginner
viernes,friday,¡El mejor día! Empieza el fin de semana,The best day! The weekend starts,tiempo,beginner
sabado,saturday,Día para descansar y divertirse,Day to rest and have fun,tiempo,beginner
domingo,sunday,Último día de la semana en muchos países,Last day of the week in many countries,tiempo,beginner
enero,january,Primer mes del año nuevo,First month of the new year,tiempo,beginner
febrero,february,El mes más corto del año,The shortest month of the year,tiempo,beginner
marzo,march,Mes en que llega la primavera,Month when spring arrives,tiempo,beginner
abril,april,Mes de lluvias y flores,Month of rain and flowers,tiempo,beginner
mayo,may,Mes de las madres en muchos países,Month of mothers in many countries,tiempo,beginner
junio,june,Mes en que empieza el verano,Month when summer begins,tiempo,beginner
julio,july,Mes más caluroso del verano,Hottest month of summer,tiempo,beginner
agosto,august,Mes de vacaciones por excelencia,The quintessential vacation month,tiempo,beginner
octubre,october,Mes del otoño y Halloween,Month of autumn and Halloween,tiempo,beginner
hora,hour,Sesenta minutos forman una,Sixty minutes make one,tiempo,beginner
minuto,minute,Sesenta segundos forman uno,Sixty seconds make one,tiempo,beginner
segundo,second,La unidad de tiempo más pequeña común,The smallest common unit of time,tiempo,beginner
semana,week,Siete días forman una,Seven days make one,tiempo,beginner
mes,month,Período de aproximadamente treinta días,Period of approximately thirty days,tiempo,beginner
ano,year,Período de doce meses,Period of twelve months,tiempo,beginner
siglo,century,Cien años forman uno,One hundred years make one,tiempo,advanced
decada,decade,Diez años forman una,Ten years make one,tiempo,advanced
manana,morning,Parte del día antes del mediodía,Part of the day before noon,tiempo,beginner
tarde,evening,Parte del día después del mediodía,Part of the day after noon,tiempo,beginner
noche,night,Cuando sale la luna y las estrellas,When the moon and stars come out,tiempo,beginner
hoy,today,Este día presente,This present day,tiempo,beginner
ayer,yesterday,El día antes de hoy,The day before today,tiempo,beginner
reloj,clock,Aparato que marca las horas,Device that tells the time,tiempo,beginner
fecha,date,Día específico en el calendario,Specific day on the calendar,tiempo,beginner
verano,summer,Estación más calurosa del año,Hottest season of the year,tiempo,beginner
otono,autumn,Estación en que caen las hojas,Season when leaves fall,tiempo,beginner
