madre,mother,La mujer que te dio la vida,The woman who gave you life,familia,beginner
padre,father,El hombre que te dio la vida,The man who gave you life,familia,beginner
hijo,son,Varón nacido de una pareja,Male child of a couple,familia,beginner
hija,daughter,Mujer nacida de una pareja,Female child of a couple,familia,beginner
hermano,brother,Varón con los mismos padres que tú,Male with the same parents as you,familia,beginner
hermana,sister,Mujer con los mismos padres que tú,Female with the same parents as you,familia,beginner
abuelo,grandpa,El padre de tu padre o madre,The father of your father or mother,familia,beginner
abuela,grandma,La madre de tu padre o madre,The mother of your father or mother,familia,beginner
tio,uncle,El hermano de tu padre o madre,The brother of your father or mother,familia,beginner
tia,aunt,La hermana de tu padre o madre,The sister of your father or mother,familia,beginner
primo,cousin,Hijo de tu tío o tía,Son of your uncle or aunt,familia,beginner
prima,cousin,Hija de tu tío o tía,Daughter of your uncle or aunt,familia,beginner
sobrino,nephew,El hijo de tu hermano o hermana,The son of your brother or sister,familia,beginner
sobrina,niece,La hija de tu hermano o hermana,The daughter of your brother or sister,familia,beginner
nieto,grandson,El hijo de tu hijo o hija,The son of your son or daughter,familia,beginner
nieta,grand,La hija de tu hijo o hija,The daughter of your son or daughter,familia,beginner
esposo,husband,El hombre con quien estás casado,The man you are married to,familia,beginner
esposa,wife,La mujer con quien estás casado,The woman you are married to,familia,beginner
bebe,baby,Un niño recién nacido,A newborn child,familia,beginner
nino,boy,Un varón joven,A young male,familia,beginner
nina,girl,Una mujer joven,A young female,familia,beginner
yerno,inlaw,El esposo de tu hija,The husband of your daughter,familia,advanced
nuera,inlaw,La esposa de tu hijo,The wife of your son,familia,advanced
suegro,inlaw,El padre de tu esposo o esposa,The father of your spouse,familia,advanced
suegra,inlaw,La madre de tu esposo o esposa,The mother of your spouse,familia,advanced
cunado,inlaw,El hermano de tu esposo o esposa,The brother of your spouse,familia,advanced
cunada,inlaw,La hermana de tu esposo o esposa,The sister of your spouse,familia,advanced
padrino,godfather,Hombre que te apadrina en el bautizo,Man who sponsors you at baptism,familia,advanced
madrina,godmother,Mujer que te apadrina en el bautizo,Woman who sponsors you at baptism,familia,advanced
