amor,love,Sentimiento profundo de cariño hacia otra persona,Deep feeling of affection for another person,emociones,beginner
odio,hate,Sentimiento intenso de rechazo o aversión,Intense feeling of rejection or aversion,emociones,beginner
miedo,fear,Sensación de angustia ante un peligro,Feeling of distress in the face of danger,emociones,beginner
ira,anger,Furia intensa y descontrolada,Intense and uncontrolled fury,emociones,beginner
paz,peace,Estado de tranquilidad y calma interior,State of tranquility and inner calm,emociones,beginner
gozo,joy,Alegría intensa y profunda,Intense and deep happiness,emociones,beginner
pena,sorrow,Tristeza o dolor emocional,Sadness or emotional pain,emociones,beginner
culpa,guilt,Sentimiento de responsabilidad por un error,Feeling of responsibility for a mistake,emociones,advanced
enojo,anger,Irritación o molestia fuerte,Strong irritation or annoyance,emociones,beginner
celos,jealousy,Temor de perder el afecto de alguien,Fear of losing someone's affection,emociones,advanced
asco,disgust,Repugnancia o repulsión intensa,Intense repugnance or revulsion,emociones,beginner
calma,calm,Serenidad y ausencia de agitación,Serenity and absence of agitation,emociones,beginner
duelo,grief,Dolor profundo por una pérdida,Deep pain from a loss,emociones,advanced
orgullo,pride,Satisfacción por los logros propios,Satisfaction from one's own achievements,emociones,advanced
placer,pleasure,Sensación agradable de disfrute,Pleasant sensation of enjoyment,emociones,advanced
rabia,rage,Enfado violento y descontrolado,Violent and uncontrolled anger,emociones,beginner
temor,dread,Miedo anticipado ante algo incierto,Anticipated fear of something uncertain,emociones,advanced
dicha,bliss,Felicidad completa y absoluta,Complete and absolute happiness,emociones,advanced
alivio,relief,Sensación de descanso tras una preocupación,Feeling of rest after a worry,emociones,advanced
enfado,annoy,Estado de irritación o disgusto,State of irritation or displeasure,emociones,beginner
panico,panic,Miedo súbito e incontrolable,Sudden and uncontrollable fear,emociones,advanced
tedio,boredom,Aburrimiento profundo y persistente,Deep and persistent boredom,emociones,advanced
euforia,euphoria,Alegría exagerada y desbordante,Exaggerated and overflowing joy,emociones,advanced
verguenza,shame,Sentimiento de humillación o deshonra,Feeling of humiliation or dishonor,emociones,advanced
tristeza,sadness,Estado de ánimo decaído y melancólico,Low and melancholic mood,emociones,beginner
alegria,joy,Sentimiento de felicidad y contento,Feeling of happiness and contentment,emociones,beginner
angustia,anguish,Aflicción intensa y opresiva,Intense and oppressive affliction,emociones,advanced
nostalgia,nostalgia,Añoranza del pasado o de algo lejano,Longing for the past or something distant,emociones,advanced
rencor,grudge,Resentimiento persistente hacia alguien,Persistent resentment toward someone,emociones,advanced
hastio,disgust,Cansancio extremo o repugnancia,Extreme weariness or repugnance,emociones,advanced
asombro,awe,Sorpresa grande ante algo inesperado,Great surprise at something unexpected,emociones,advanced
afecto,fondness,Cariño y ternura hacia alguien,Warmth and tenderness toward someone,emociones,beginner
pasion,passion,Sentimiento muy intenso y arrebatador,Very intense and overwhelming feeling,emociones,advanced
espanto,fright,Terror repentino y paralizante,Sudden and paralyzing terror,emociones,advanced
