gato,cat,Felino doméstico que ronronea,Domestic feline that purrs,animales,beginner
perro,dog,El mejor amigo del hombre,Man's best friend,animales,beginner
pez,fish,Vive bajo el agua y tiene aletas,Lives underwater and has fins,animales,beginner
oso,bear,Gran mamífero que hiberna en invierno,Large mammal that hibernates in winter,animales,beginner
leon,lion,El rey de la selva,The king of the jungle,animales,beginner
vaca,cow,Nos da leche todos los días,Gives us milk every day,animales,beginner
rana,frog,Salta y dice "croac",Jumps and says "ribbit",animales,beginner
lobo,wolf,Aúlla a la luna por la noche,Howls at the moon at night,animales,beginner
pato,duck,Ave que nada y dice "cuac",Bird that swims and says "quack",animales,beginner
rata,rat,Roedor pequeño de cola larga,Small rodent with a long tail,animales,beginner
mono,monkey,Primate que trepa árboles con agilidad,Primate that climbs trees with agility,animales,beginner
toro,bull,Animal bravo de los rodeos,Fierce animal of the rodeos,animales,beginner
burro,donkey,Animal de carga muy terco,Very stubborn pack animal,animales,beginner
cerdo,pig,Animal rosado que vive en la granja,Pink animal that lives on the farm,animales,beginner
cabra,goat,Trepa montañas y come de todo,Climbs mountains and eats everything,animales,beginner
tigre,tiger,Felino con rayas naranjas y negras,Feline with orange and black stripes,animales,beginner
pajaro,bird,Tiene plumas y vuela por el cielo,Has feathers and flies through the sky,animales,beginner
oveja,sheep,Nos da lana para la ropa,Gives us wool for clothing,animales,beginner
pollo,chicken,Ave de corral que ponemos en la sopa,Farmyard bird we put in soup,animales,beginner
caballo,horse,Se monta y galopa por el campo,You ride it and it gallops through the field,animales,beginner
conejo,rabbit,Tiene orejas largas y salta mucho,Has long ears and jumps a lot,animales,beginner
raton,mouse,Pequeño roedor que le gusta el queso,Small rodent that likes cheese,animales,beginner
abeja,bee,Insecto que hace miel y zumba,Insect that makes honey and buzzes,animales,beginner
mosca,fly,Insecto molesto que zumba en verano,Annoying insect that buzzes in summer,animales,beginner
buho,owl,Ave nocturna con grandes ojos,Nocturnal bird with big eyes,animales,advanced
ciervo,deer,Mamífero del bosque con grandes astas,Forest mammal with large antlers,animales,advanced
zorro,fox,Animal astuto de cola peluda,Cunning animal with a bushy tail,animales,advanced
aguila,eagle,Ave rapaz que vuela muy alto,Bird of prey that flies very high,animales,advanced
pulpo,octopus,Tiene ocho tentáculos y vive en el mar,Has eight tentacles and lives in the sea,animales,advanced
ballena,whale,El animal más grande del océano,The largest animal in the ocean,animales,advanced
delfin,dolphin,Mamífero marino muy inteligente,Very intelligent marine mammal,animales,advanced
tiburon,shark,Depredador del mar con muchos dientes,Sea predator with many teeth,animales,advanced
cuervo,raven,Ave negra asociada con el misterio,Black bird associated with mystery,animales,advanced
halcon,falcon,Ave rapaz veloz que caza en picada,Fast bird of prey that hunts in a dive,animales,advanced
medusa,jellyfish,Criatura marina transparente que pica,Transparent sea creature that stings,animales,advanced
grillo,cricket,Insecto que canta de noche en el campo,Insect that sings at night in the field,animales,advanced
hormiga,ant,Insecto diminuto que trabaja en equipo,Tiny insect that works as a team,animales,advanced
lagarto,lizard,Reptil que toma el sol sobre las rocas,Reptile that sunbathes on rocks,animales,advanced
tortuga,turtle,Reptil lento con caparazón duro,Slow reptile with a hard shell,animales,advanced
jabali,boar,Cerdo salvaje con colmillos curvos,Wild pig with curved tusks,animales,advanced
gaviota,seagull,Ave blanca que vuela sobre la playa,White bird that flies over the beach,animales,advanced
pantera,panther,Felino negro sigiloso de la selva,Stealthy black feline of the jungle,animales,advanced
arbol,tree,Planta grande con tronco y ramas,Large plant with a trunk and branches,naturaleza,beginner
flor,flower,Planta colorida que huele bien,Colorful plant that smells nice,naturaleza,beginner
rio,river,Corriente de agua que va al mar,Stream of water that flows to the sea,naturaleza,beginner
mar,sea,Gran masa de agua salada,Large body of salt water,naturaleza,beginner
lago,lake,Masa de agua rodeada de tierra,Body of water surrounded by land,naturaleza,beginner
sol,sun,Estrella que nos da luz y calor,Star that gives us light and warmth,naturaleza,beginner
luna,moon,Brilla en el cielo por la noche,Shines in the sky at night,naturaleza,beginner
roca,rock,Piedra grande y dura del suelo,Large hard stone from the ground,naturaleza,beginner
hoja,leaf,Parte verde de una planta,Green part of a plant,naturaleza,beginner
rosa,rose,Flor roja símbolo del amor,Red flower symbol of love,naturaleza,beginner
playa,beach,Arena junto al mar para descansar,Sand by the sea for relaxing,naturaleza,beginner
campo,field,Terreno abierto con hierba verde,Open terrain with green grass,naturaleza,beginner
tierra,earth,El suelo donde crecen las plantas,The ground where plants grow,naturaleza,beginner
arena,sand,Granos finos que hay en la playa,Fine grains found at the beach,naturaleza,beginner
cielo,sky,Lo azul que vemos al mirar arriba,The blue we see when looking up,naturaleza,beginner
bosque,forest,Lugar lleno de árboles y vida,Place full of trees and life,naturaleza,beginner
hierba,grass,Planta verde que cubre el suelo,Green plant that covers the ground,naturaleza,beginner
isla,island,Tierra rodeada de agua por todos lados,Land surrounded by water on all sides,naturaleza,beginner
monte,mount,Elevación natural del terreno,Natural elevation of the terrain,naturaleza,beginner
