pan,bread,Alimento básico hecho con harina y agua,Basic food made from flour and water,comida,beginner
arroz,rice,Grano blanco que acompaña muchos platos latinos,White grain that accompanies many Latin dishes,comida,beginner
pollo,chicken,Ave de corral muy popular en la cocina,Very popular poultry in cooking,comida,beginner
carne,meat,Proteína animal que se cocina a la parrilla,Animal protein cooked on the grill,comida,beginner
queso,cheese,Lácteo delicioso que se derrite en la pizza,Delicious dairy that melts on pizza,comida,beginner
huevo,egg,Sale de la gallina y se fríe para el desayuno,Comes from a hen and is fried for breakfast,comida,beginner
sopa,soup,Plato caliente y líquido perfecto para el invierno,Hot liquid dish perfect for winter,comida,beginner
pasta,pasta,Comida italiana hecha con harina y agua,Italian food made with flour and water,comida,beginner
taco,taco,Tortilla doblada con relleno mexicano,Folded tortilla with Mexican filling,comida,beginner
sal,salt,Mineral blanco que da sabor a la comida,White mineral that flavors food,comida,beginner
jamon,ham,Carne curada del cerdo muy popular en España,Cured pork meat very popular in Spain,comida,beginner
torta,cake,Postre esponjoso para celebrar cumpleaños,Spongy dessert to celebrate birthdays,comida,beginner
flan,flan,Postre cremoso con caramelo encima,Creamy dessert with caramel on top,comida,beginner
pizza,pizza,Masa redonda con tomate y queso del horno,Round dough with tomato and cheese from the oven,comida,beginner
crema,cream,Lácteo espeso que se usa en postres y sopas,Thick dairy used in desserts and soups,comida,beginner
guiso,stew,Plato cocinado lentamente con verduras y carne,Dish slowly cooked with vegetables and meat,comida,advanced
caldo,broth,Líquido sabroso hecho hirviendo huesos y verduras,Tasty liquid made by boiling bones and vegetables,comida,advanced
pure,puree,Verduras o papas aplastadas hasta quedar suaves,Mashed vegetables or potatoes until smooth,comida,advanced
salsa,sauce,Mezcla líquida que acompaña carnes y pastas,Liquid mix that accompanies meats and pastas,comida,beginner
tocino,bacon,Tiras crujientes de cerdo para el desayuno,Crispy pork strips for breakfast,comida,advanced
empanada,pastry,Masa rellena y horneada típica de Latinoamérica,Stuffed and baked dough typical of Latin America,comida,advanced
churro,churro,Masa frita alargada con azúcar y canela,Elongated fried dough with sugar and cinnamon,comida,beginner
tamal,tamale,Masa de maíz rellena envuelta en hoja,Corn dough stuffed and wrapped in a leaf,comida,advanced
paella,paella,Plato español de arroz con mariscos y azafrán,Spanish rice dish with seafood and saffron,comida,advanced
arepa,arepa,Pan redondo de maíz típico de Venezuela,Round corn bread typical of Venezuela,comida,advanced
miel,honey,Líquido dorado y dulce que hacen las abejas,Golden sweet liquid made by bees,comida,beginner
