viaje,trip,Desplazamiento a un lugar lejano,A journey to a distant place,viajes,beginner
maleta,suitcase,Equipaje donde guardas tu ropa,Luggage where you keep your clothes,viajes,beginner
mapa,map,Representación gráfica de un territorio,Graphic representation of a territory,viajes,beginner
playa,beach,Orilla arenosa junto al mar,Sandy shore by the sea,viajes,beginner
hotel,hotel,Establecimiento donde te hospedas,Establishment where you stay overnight,viajes,beginner
guia,guide,Persona que muestra los sitios turísticos,Person who shows tourist sites,viajes,beginner
visa,visa,Documento para entrar a otro país,Document to enter another country,viajes,beginner
ruta,route,Camino planificado para llegar a un destino,Planned path to reach a destination,viajes,beginner
tour,tour,Recorrido organizado por lugares de interés,Organized trip through points of interest,viajes,beginner
paseo,walk,Caminata recreativa por un lugar,Recreational stroll through a place,viajes,beginner
boleto,ticket,Papel que te permite abordar un transporte,Paper that allows you to board transport,viajes,beginner
isla,island,Porción de tierra rodeada de agua,Piece of land surrounded by water,viajes,beginner
arena,sand,Material granuloso que cubre la playa,Grainy material that covers the beach,viajes,beginner
foto,photo,Imagen capturada con una cámara,Image captured with a camera,viajes,beginner
clima,climate,Condiciones atmosféricas de un lugar,Atmospheric conditions of a place,viajes,beginner
norte,north,Punto cardinal hacia la estrella polar,Cardinal point toward the polar star,viajes,beginner
sur,south,Punto cardinal opuesto al norte,Cardinal point opposite to north,viajes,beginner
este,east,Punto cardinal por donde sale el sol,Cardinal point where the sun rises,viajes,beginner
oeste,west,Punto cardinal por donde se pone el sol,Cardinal point where the sun sets,viajes,beginner
equipaje,luggage,Conjunto de maletas y bolsas para viajar,Set of bags and cases for traveling,viajes,advanced
aduana,customs,Control fronterizo de mercancías,Border control for goods,viajes,advanced
destino,destiny,Lugar al que te diriges en un viaje,Place you are heading to on a trip,viajes,advanced
turista,tourist,Persona que visita lugares por placer,Person who visits places for pleasure,viajes,advanced
crucero,cruise,Viaje vacacional en un barco grande,Vacation trip on a large ship,viajes,advanced
reserva,booking,Apartado previo de alojamiento o servicio,Prior arrangement for lodging or service,viajes,advanced
pasaje,fare,Precio que pagas por un viaje en transporte,Price you pay for a transport trip,viajes,advanced
escala,layover,Parada intermedia en un vuelo largo,Intermediate stop on a long flight,viajes,advanced
frontera,border,Límite entre dos países,Boundary between two countries,viajes,advanced
recuerdo,souvenir,Objeto que compras para recordar un viaje,Object you buy to remember a trip,viajes,advanced
sendero,trail,Camino estrecho en la naturaleza,Narrow path in nature,viajes,advanced
brujula,compass,Instrumento que señala el norte magnético,Instrument that points to magnetic north,viajes,advanced
albergue,hostel,Alojamiento económico para viajeros,Budget accommodation for travelers,viajes,advanced
agenda,plan,Programa detallado de un viaje,Detailed schedule of a trip,viajes,advanced
camping,camping,Actividad de acampar al aire libre,Activity of camping outdoors,viajes,advanced
selva,jungle,Bosque tropical denso y húmedo,Dense and humid tropical forest,viajes,advanced
costa,coast,Franja de tierra junto al mar,Strip of land next to the sea,viajes,beginner
casa,house,Edificio donde vive una familia,Building where a family lives,lugares,beginner
banco,bank,Institución financiera para guardar dinero,Financial institution to keep money,lugares,beginner
tienda,store,Local comercial donde compras productos,Commercial place where you buy products,lugares,beginner
parque,park,Espacio verde público para recreación,Public green space for recreation,lugares,beginner
museo,museum,Lugar donde se exhiben obras de arte,Place where artworks are exhibited,lugares,beginner
plaza,plaza,Espacio abierto en el centro de una ciudad,Open space in the center of a city,lugares,beginner
iglesia,church,Templo cristiano para el culto religioso,Christian temple for religious worship,lugares,beginner
escuela,school,Lugar donde los niños aprenden,Place where children learn,lugares,beginner
mercado,market,Lugar donde se venden alimentos frescos,Place where fresh food is sold,lugares,beginner
puente,bridge,Estructura que conecta dos orillas,Structure that connects two banks,lugares,beginner
torre,tower,Construcción alta y estrecha,Tall and narrow construction,lugares,beginner
